X,Y,Z
160,80,62.5
170,67,83.33
192,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
134,121,13.16
134,121,13.89
135,121,14.71
138,120,20.83
137,121,19.23
136,122,17.86
137,122,19.23
138,123,20.83
139,123,22.73
146,123,35.71
170,120,83.33
255,117,255.0
137,127,19.23
138,128,20.83
139,129,22.73
141,130,27.78
146,133,35.71
153,137,50.0
192,157,125.0
255,198,255.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
131,120,6.41
135,111,14.71
131,120,6.58
131,120,6.76
131,120,6.94
138,109,19.23
133,118,10.0
145,101,31.25
162,77,62.5
162,80,62.5
174,67,83.33
197,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
135,121,13.89
135,121,14.71
139,120,20.83
139,120,20.83
138,122,19.23
138,122,19.23
139,123,20.83
140,123,22.73
141,124,25.0
155,123,50.0
138,126,19.23
138,127,19.23
139,128,20.83
140,129,22.73
141,130,25.0
145,132,31.25
150,135,41.67
174,147,83.33
255,198,255.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
131,120,6.58
136,111,14.71
133,117,9.26
133,117,9.62
131,120,6.94
133,117,10.42
133,118,10.0
144,104,27.78
177,60,83.33
165,80,62.5
177,67,83.33
202,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
135,121,13.89
136,121,14.71
139,120,19.23
137,122,16.67
138,122,17.86
139,122,19.23
140,123,20.83
141,123,22.73
142,124,25.0
144,125,27.78
140,126,20.83
255,127,255.0
140,128,20.83
141,129,22.73
142,130,25.0
146,132,31.25
148,134,35.71
165,142,62.5
255,198,255.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
131,119,6.76
136,111,14.71
133,118,8.93
131,120,6.76
131,120,6.94
132,120,7.14
133,118,10.0
145,104,27.78
150,98,35.71
167,80,62.5
180,67,83.33
207,42,125.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
255,15,255.0
136,121,14.71
137,121,15.63
138,122,16.67
138,122,17.86
139,122,19.23
140,123,20.83
142,123,22.73
143,124,25.0
145,125,27.78
159,125,50.0
255,127,250.0
140,128,20.83
142,129,22.73
143,130,25.0
145,131,27.78
150,134,35.71
159,139,50.0
255,197,250.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
132,119,7.35
132,120,6.94
132,120,6.76
133,118,9.26
132,120,6.94
134,118,10.0
134,118,10.0
144,106,25.0
155,94,41.67
255,0,255.0
255,0,255.0
255,0,255.0
255,0,250.0
255,0,255.0
255,0,255.0
255,0,255.0
255,5,255.0
255,15,255.0
138,121,15.63
138,121,16.67
139,121,17.86
140,122,19.23
141,122,20.83
142,122,22.73
144,123,25.0
146,124,27.78
148,125,31.25
151,126,35.71
142,127,22.73
255,137,255.0
142,129,22.73
142,130,22.73
144,131,25.0
148,133,31.25
161,139,50.0
212,162,125.0
255,209,255.0
255,219,255.0
255,229,255.0
255,239,255.0
255,249,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
255,255,255.0
